Food Category;Food;r1;r2;r3;r4;r5;r6;r7;rank
Breads;Corn Tortillas;;;x;;;;;3
Breads;Rye bread;;;;x;;;;4
Breads;Sourdough bread;;;x;;;;;3
Breads;White biscuit;;;;x;;;;4
Breads;White bread;;;x;;;;;3
Breads;Whole-grain bread;;;;x;;;;4
Breads;Whole-meal bread;;;;x;;;;4
Condiments;Ketchup;;;x;;;;;3
Condiments;Mayonnaise;;;x;;;;;3
Condiments;Miso;;;x;;;;;3
Condiments;Mustard;;;x;;;;;3
Condiments;Soy sauce;;;x;;;;;3
Dairy;Buttermilk;;;;;x;;;5
Dairy;Cheese (all varieties, from all milks);;;x;;;;;3
Dairy;Cream;;;;x;;;;4
Dairy;Egg whites;;;x;;;;;3
Dairy;Eggs (whole);;;x;;;;;3
Dairy;Homogenized milk;;;;x;;;;4
Dairy;Milk (not pasteurized);;;;x;;;;4
Dairy;Milk (pasteurized);;;x;;;;;3
Dairy;Paneer (cheese);;;x;;;;;3
Dairy;Quark;;;x;;;;;3
Dairy;Yoghurt (sweetened);;;x;;;;;3
Dairy;Yoghurt (unsweetened);;;;x;;;;4
Beverages & Drinks;Beer;;x;;;;;;2
Beverages & Drinks;Coffee;;x;;;;;;2
Beverages & Drinks;Coffee substitue drinks;;;;x;;;;4
Beverages & Drinks;Fruit juice (natural);;;;x;;;;4
Beverages & Drinks;Fruit juice (sweetened);;x;;;;;;2
Beverages & Drinks;Liquor;;x;;;;;;2
Beverages & Drinks;Soda/Pop;;;x;;;;;3
Beverages & Drinks;Tea (black);;x;;;;;;2
Beverages & Drinks;Tea (herbal, green);;;;;x;;;5
Beverages & Drinks;Water (Fiji, Hawaiian, Evian);;;;;x;;;5
Beverages & Drinks;Water (sparkling);;;x;;;;;3
Beverages & Drinks;Water (spring);;;;x;;;;4
Beverages & Drinks;Wine;;;x;;;;;3
Fats & Oils;Borage oil;;;;;x;;;5
Fats & Oils;Butter;;;;x;;;;4
Fats & Oils;Coconut Oil (raw);;;;;x;;;5
Fats & Oils;Cod liver oil;;;;x;;;;4
Fats & Oils;Corn oil;;;;x;;;;4
Fats & Oils;Evening Primrose oil;;;;;x;;;5
Fats & Oils;Flax seed oil;;;;;x;;;5
Fats & Oils;Margarine;;;;x;;;;4
Fats & Oils;Marine lipids;;;;;x;;;5
Fats & Oils;Olive Oil;;;;;x;;;5
Fats & Oils;Sesame oil;;;;;x;;;5
